brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,desc
BMW,435 i,2014,"80,211 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Red,At least 1 accident or damage reported,Yes,"$17,995 ","BMW 435 i 2014, Gray exterior, Red interior, 80,211 mi., 300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Aston,Martin V8 Vantage Base,2010,"25,991 mi.",Gasoline,420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,"$69,995 ","Aston Martin V8 Vantage Base 2010, Silver exterior, Black interior, 25,991 mi., 420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Mercedes-Benz,CLK-Class CLK 350,2008,"73,000 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$8,400 ","Mercedes-Benz CLK-Class CLK 350 2008, Black exterior, Black interior, 73,000 mi., 268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 7-Speed A/T, Gasoline, None reported"
BMW,740 i,2018,"40,989 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gold,None reported,Yes,"$35,000 ","BMW 740 i 2018, Black exterior, Gold interior, 40,989 mi., 320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Dodge,Caliber Express,2010,"102,681 mi.",Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,None reported,Yes,"$6,000 ","Dodge Caliber Express 2010, Red exterior, Black interior, 102,681 mi., 158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, M/T, Gasoline, None reported"
Acura,ZDX Base,2010,"123,000 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$13,888 ","Acura ZDX Base 2010, Black exterior, Black interior, 123,000 mi., 300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, At least 1 accident or damage reported"
Jeep,Wrangler X,2005,"160,900 mi.",Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,"$7,200 ","Jeep Wrangler X 2005, Black exterior, – interior, 160,900 mi., 190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel, 4-Speed A/T, Gasoline, At least 1 accident or damage reported"
BMW,M3 Base,2011,"105,000 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,At least 1 accident or damage reported,Yes,"$21,900 ","BMW M3 Base 2011, Silver exterior, Black interior, 105,000 mi., 414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, At least 1 accident or damage reported"
Kia,Sportage Plug-In Hybrid X-Line,2023,"1,340 mi.",Plug-In Hybrid,177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Black,Black,None reported,Yes,"$41,000 ","Kia Sportage Plug-In Hybrid X-Line 2023, Black exterior, Black interior, 1,340 mi., 177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas, A/T, Plug-In Hybrid, None reported"
Ford,Mustang Mach-E Premium,2021,"17,850 mi.",,266.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,"$41,999 ","Ford Mustang Mach-E Premium 2021, Red exterior, Black interior, 17,850 mi., 266.0HP Electric Motor Electric Fuel System, A/T, nan, None reported"
BMW,M3 Base,2011,"72,277 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,"$34,950 ","BMW M3 Base 2011, Gray exterior, Red interior, 72,277 mi., 414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Jeep,Wrangler Rubicon,2023,"7,000 mi.",Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,"$46,000 ","Jeep Wrangler Rubicon 2023, Gray exterior, Black interior, 7,000 mi., 285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid, 8-Speed A/T, Hybrid, None reported"
Porsche,Panamera 4 Platinum Edition,2022,"10,627 mi.",Gasoline,"2.9L V-6 gasoline direct injection, DOHC, variable valve control","Automatic, 8-Spd PDK Dual-Clutch",Chalk,BLACK,None reported,,"$99,000 ","Porsche Panamera 4 Platinum Edition 2022, Chalk exterior, BLACK interior, 10,627 mi., 2.9L V-6 gasoline direct injection, DOHC, variable valve control, Automatic, 8-Spd PDK Dual-Clutch, Gasoline, None reported"
Ford,Explorer XLT,2020,"67,015 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Oxford White,Sandstone,None reported,,"$28,590 ","Ford Explorer XLT 2020, Oxford White exterior, Sandstone interior, 67,015 mi., 2.3L I4 16V GDI DOHC Turbo, 10-Speed Automatic, Gasoline, None reported"
BMW,M4 Base,2018,"19,600 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$62,000 ","BMW M4 Base 2018, Black exterior, Black interior, 19,600 mi., 425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, 7-Speed A/T, Gasoline, At least 1 accident or damage reported"
Ford,Mustang Mach-E Premium,2022,"5,800 mi.",,346.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,None reported,Yes,"$42,500 ","Ford Mustang Mach-E Premium 2022, White exterior, White interior, 5,800 mi., 346.0HP Electric Motor Electric Fuel System, 1-Speed A/T, nan, None reported"
FIAT,500e Battery Electric,2017,"33,812 mi.",,111.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Black,None reported,Yes,"$14,999 ","FIAT 500e Battery Electric 2017, Silver exterior, Black interior, 33,812 mi., 111.0HP Electric Motor Electric Fuel System, 1-Speed A/T, nan, None reported"
Cadillac,Escalade Luxury,2015,"99,897 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$26,950 ","Cadillac Escalade Luxury 2015, Black exterior, Black interior, 99,897 mi., 420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Mercedes-Benz,SL-Class SL 550,2014,"127,500 mi.",Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,"$29,000 ","Mercedes-Benz SL-Class SL 550 2014, White exterior, White interior, 127,500 mi., 429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Ford,Expedition Limited,2021,"23,842 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Medium Stone,None reported,Yes,"$59,203 ","Ford Expedition Limited 2021, Gray exterior, Medium Stone interior, 23,842 mi., 3.5L V6 24V PDI DOHC Twin Turbo, 10-Speed Automatic, Gasoline, None reported"
Rivian,R1S Adventure Package,2023,"2,108 mi.",,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,None reported,Yes,"$91,000 ","Rivian R1S Adventure Package 2023, Silver exterior, White interior, 2,108 mi., 835.0HP Electric Motor Electric Fuel System, 1-Speed A/T, nan, None reported"
BMW,M6 Base,2014,"65,550 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$39,985 ","BMW M6 Base 2014, Black exterior, Black interior, 65,550 mi., 560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Lamborghini,Huracan LP580-2,2017,"22,000 mi.",Gasoline,573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$210,000 ","Lamborghini Huracan LP580-2 2017, White exterior, Black interior, 22,000 mi., 573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Ford,Bronco Wildtrak Advanced,2022,"15,600 mi.",Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,–,At least 1 accident or damage reported,Yes,"$68,995 ","Ford Bronco Wildtrak Advanced 2022, Gray exterior, – interior, 15,600 mi., 315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, At least 1 accident or damage reported"
Lexus,LC 500 Base,2021,"22,400 mi.",Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,"$81,900 ","Lexus LC 500 Base 2021, White exterior, Red interior, 22,400 mi., 471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Lexus,LS 460 Crafted Line,2015,"89,150 mi.",Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$31,900 ","Lexus LS 460 Crafted Line 2015, White exterior, Black interior, 89,150 mi., 360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
BMW,M4 Base,2023,"15,000 mi.",Gasoline,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes",BLUE,ORANGE,None reported,,"$81,000 ","BMW M4 Base 2023, BLUE exterior, ORANGE interior, 15,000 mi., 3L I-6 gasoline direct injection, DOHC, Double VANOS variable va, Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes, Gasoline, None reported"
Audi,A3 2.0T Tech Premium,2018,"49,500 mi.",Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,None reported,Yes,"$25,000 ","Audi A3 2.0T Tech Premium 2018, Blue exterior, Gray interior, 49,500 mi., 220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Audi,S8 4.2 quattro,2003,"126,000 mi.",Gasoline,360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,,,"$13,850 ","Audi S8 4.2 quattro 2003, Gray exterior, Black interior, 126,000 mi., 360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, nan"
Volkswagen,Golf GTI 2.0T Autobahn 4-Door,2015,"85,385 mi.",Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,"$15,550 ","Volkswagen Golf GTI 2.0T Autobahn 4-Door 2015, Gray exterior, Black interior, 85,385 mi., 210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Cadillac,Escalade Sport,2023,"3,000 mi.",Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Brown,None reported,Yes,"$123,999 ","Cadillac Escalade Sport 2023, White exterior, Brown interior, 3,000 mi., 277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel, A/T, Diesel, None reported"
Hyundai,Tucson SE,2018,"66,126 mi.",Gasoline,2.0L I4 16V GDI DOHC,6-Speed Automatic,Dazzling White,Gray,None reported,,"$19,190 ","Hyundai Tucson SE 2018, Dazzling White exterior, Gray interior, 66,126 mi., 2.0L I4 16V GDI DOHC, 6-Speed Automatic, Gasoline, None reported"
Toyota,GR86 Premium,2023,"1,075 mi.",Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"$35,000 ","Toyota GR86 Premium 2023, White exterior, Black interior, 1,075 mi., 228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Ford,Bronco Raptor,2023,"2,489 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Black Onyx,None reported,,"$98,900 ","Ford Bronco Raptor 2023, Oxford White exterior, Black Onyx interior, 2,489 mi., 3.0L V6 24V GDI DOHC Twin Turbo, 10-Speed Automatic, Gasoline, None reported"
Hyundai,Santa Fe SEL,2021,"25,000 mi.",Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,None reported,Yes,"$28,500 ","Hyundai Santa Fe SEL 2021, Black exterior, Gray interior, 25,000 mi., 191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Nissan,Armada Platinum,2017,"92,000 mi.",Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$20,900 ","Nissan Armada Platinum 2017, Black exterior, Black interior, 92,000 mi., 390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel, 7-Speed A/T, Gasoline, None reported"
Lexus,GX 470 Base,2008,"123,500 mi.",Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,"$14,500 ","Lexus GX 470 Base 2008, White exterior, Gray interior, 123,500 mi., 263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Cadillac,CTS Premium,2013,"105,000 mi.",Gasoline,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$12,000 ","Cadillac CTS Premium 2013, Black exterior, Black interior, 105,000 mi., 318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, At least 1 accident or damage reported"
Audi,R8 Base,2008,"49,000 mi.",Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"$63,000 ","Audi R8 Base 2008, Black exterior, Black interior, 49,000 mi., 420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Jaguar,F-PACE S,2020,"28,357 mi.",Gasoline,3.0 Liter,Automatic,Santorini Black Metallic,Pimento Red w/Ebony,None reported,,"$47,598 ","Jaguar F-PACE S 2020, Santorini Black Metallic exterior, Pimento Red w/Ebony interior, 28,357 mi., 3.0 Liter, Automatic, Gasoline, None reported"
Chevrolet,Silverado 1500 1LT,2018,"81,000 mi.",E85 Flex Fuel,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,None reported,Yes,"$32,000 ","Chevrolet Silverado 1500 1LT 2018, Red exterior, Gray interior, 81,000 mi., 285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability, A/T, E85 Flex Fuel, None reported"
Ford,Expedition Limited,2021,"45,000 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,"$52,000 ","Ford Expedition Limited 2021, Gray exterior, Black interior, 45,000 mi., 375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Toyota,Sequoia Platinum,2011,"173,456 mi.",E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,"$16,000 ","Toyota Sequoia Platinum 2011, Black exterior, Gray interior, 173,456 mi., 381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability, 6-Speed A/T, E85 Flex Fuel, At least 1 accident or damage reported"
BMW,M440 i,2021,"13,700 mi.",Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Beige,,,"$60,000 ","BMW M440 i 2021, Black exterior, Beige interior, 13,700 mi., 382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid, 8-Speed A/T, Hybrid, nan"
Audi,A8 L 55,2019,"93,400 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Brown,None reported,Yes,"$42,500 ","Audi A8 L 55 2019, Silver exterior, Brown interior, 93,400 mi., 335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid, A/T, Hybrid, None reported"
Toyota,Avalon XLE,2015,"90,000 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$18,200 ","Toyota Avalon XLE 2015, White exterior, Beige interior, 90,000 mi., 268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Porsche,Macan Base,2017,"40,600 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,"$32,000 ","Porsche Macan Base 2017, Gray exterior, Black interior, 40,600 mi., 252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 7-Speed A/T, Gasoline, None reported"
Lexus,IS 350 F Sport,2023,"20,121 mi.",Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,Yes,"$47,124 ","Lexus IS 350 F Sport 2023, Gray exterior, Red interior, 20,121 mi., 311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Mercedes-Benz,Metris Base,2020,"3,921 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic,Black,White,None reported,Yes,"$175,000 ","Mercedes-Benz Metris Base 2020, Black exterior, White interior, 3,921 mi., 2.0L I4 16V GDI DOHC Turbo, 7-Speed Automatic, Gasoline, None reported"
Lexus,RX 350 Base,2011,"187,450 mi.",Gasoline,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,"$10,400 ","Lexus RX 350 Base 2011, Silver exterior, Beige interior, 187,450 mi., 275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Toyota,Supra A91 Edition,2021,"6,400 mi.",Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,"$68,000 ","Toyota Supra A91 Edition 2021, Gray exterior, Black interior, 6,400 mi., 382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,"54,500 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,"$37,995 ","Mercedes-Benz AMG C 43 Base 4MATIC 2017, White exterior, Black interior, 54,500 mi., 362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, 9-Speed A/T, Gasoline, None reported"
BMW,X6 xDrive50i,2017,"78,500 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Brown,At least 1 accident or damage reported,Yes,"$42,000 ","BMW X6 xDrive50i 2017, Red exterior, Brown interior, 78,500 mi., 445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, At least 1 accident or damage reported"
Chevrolet,Tahoe LT,2018,"75,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,"$36,000 ","Chevrolet Tahoe LT 2018, Silver exterior, Black interior, 75,000 mi., 355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Ford,F-150 SVT Raptor,2014,"89,988 mi.",Gasoline,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Red,At least 1 accident or damage reported,Yes,"$42,500 ","Ford F-150 SVT Raptor 2014, Red exterior, Red interior, 89,988 mi., 411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Subaru,Outback 3.0 R VDC Limited,2005,"107,000 mi.",Gasoline,250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,"$7,100 ","Subaru Outback 3.0 R VDC Limited 2005, Gold exterior, Beige interior, 107,000 mi., 250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Alfa,Romeo Giulia Ti,2019,"21,400 mi.",Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$28,500 ","Alfa Romeo Giulia Ti 2019, White exterior, Black interior, 21,400 mi., 280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Mazda,CX-7 Grand Touring,2007,"83,150 mi.",Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$6,950 ","Mazda CX-7 Grand Touring 2007, White exterior, Beige interior, 83,150 mi., 244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Ford,F-150 Platinum,2018,"92,000 mi.",Diesel,250.0HP 3.0L V6 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$36,500 ","Ford F-150 Platinum 2018, Black exterior, Black interior, 92,000 mi., 250.0HP 3.0L V6 Cylinder Engine Diesel Fuel, 10-Speed A/T, Diesel, At least 1 accident or damage reported"
Mercedes-Benz,GLE 350 Base 4MATIC,2021,"15,042 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Selenite Gray Metallic,Macchiato,None reported,,"$54,599 ","Mercedes-Benz GLE 350 Base 4MATIC 2021, Selenite Gray Metallic exterior, Macchiato interior, 15,042 mi., 2.0L I4 16V GDI DOHC Turbo, 9-Speed Automatic, Gasoline, None reported"
Audi,A7 3.0T Premium Plus,2017,"39,000 mi.",Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$35,000 ","Audi A7 3.0T Premium Plus 2017, Black exterior, Black interior, 39,000 mi., 333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, At least 1 accident or damage reported"
RAM,2500 Laramie,2017,"67,483 mi.",Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,At least 1 accident or damage reported,Yes,"$46,500 ","RAM 2500 Laramie 2017, Brown exterior, Beige interior, 67,483 mi., 410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, At least 1 accident or damage reported"
Tesla,Model S 70D,2015,"62,089 mi.",,329.0HP Electric Motor Electric Fuel System,A/T,Black,Beige,None reported,Yes,"$29,975 ","Tesla Model S 70D 2015, Black exterior, Beige interior, 62,089 mi., 329.0HP Electric Motor Electric Fuel System, A/T, nan, None reported"
Audi,S8 4.0T Plus,2017,"54,300 mi.",Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$53,500 ","Audi S8 4.0T Plus 2017, Black exterior, Black interior, 54,300 mi., 605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Hyundai,Sonata Hybrid Limited,2022,"30,565 mi.",Hybrid,192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,Black,None reported,Yes,"$29,000 ","Hyundai Sonata Hybrid Limited 2022, Gray exterior, Black interior, 30,565 mi., 192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid, A/T, Hybrid, None reported"
Audi,A8 L 4.0T,2016,"142,666 mi.",Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$22,000 ","Audi A8 L 4.0T 2016, Black exterior, Black interior, 142,666 mi., 450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, At least 1 accident or damage reported"
Ford,Ranger Sport SuperCab,2009,"166,200 mi.",Gasoline,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,"$6,999 ","Ford Ranger Sport SuperCab 2009, Blue exterior, Gray interior, 166,200 mi., 207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
INFINITI,Q50 Hybrid Premium,2015,"88,977 mi.",Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$19,977 ","INFINITI Q50 Hybrid Premium 2015, Gray exterior, Black interior, 88,977 mi., 354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid, 7-Speed A/T, Hybrid, At least 1 accident or damage reported"
BMW,M3 Base,2011,"114,890 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,"$20,990 ","BMW M3 Base 2011, White exterior, Beige interior, 114,890 mi., 414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Mercedes-Benz,E-Class E 350 4MATIC,2009,"171,000 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$4,750 ","Mercedes-Benz E-Class E 350 4MATIC 2009, Black exterior, Black interior, 171,000 mi., 268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 5-Speed A/T, Gasoline, At least 1 accident or damage reported"
Ford,Explorer sport,2019,"90,067 mi.",Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Black,Ebony Black,None reported,,"$28,590 ","Ford Explorer sport 2019, Black exterior, Ebony Black interior, 90,067 mi., 3.5L V6 24V GDI DOHC Twin Turbo, 6-Speed Automatic, Gasoline, None reported"
Chevrolet,Camaro 1LT,2014,"97,579 mi.",Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$15,000 ","Chevrolet Camaro 1LT 2014, Black exterior, Black interior, 97,579 mi., 323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, At least 1 accident or damage reported"
Mazda,MX-5 Miata RF Grand Touring,2017,"52,000 mi.",Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,"$20,500 ","Mazda MX-5 Miata RF Grand Touring 2017, Black exterior, Black interior, 52,000 mi., 155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, At least 1 accident or damage reported"
